Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_description,ano,mes,dia,hora,dia da semana
0.0,0.0,0.0,0,13.97,13.54,11.45,14.04,1027,81,1.96,87,5,2021,9,29,0,2
0.0,0.0,0.0,0,13.48,13.02,13.43,13.9,1028,82,1.83,91,5,2021,9,29,1,2
0.0,0.0,0.0,0,12.93,12.47,12.72,13.43,1027,84,1.96,93,5,2021,9,29,2,2
0.0,0.0,0.0,0,12.61,12.15,10.34,12.93,1027,85,1.85,95,5,2021,9,29,3,2
0.0,0.0,0.0,0,12.61,12.17,9.79,12.93,1027,86,1.83,93,5,2021,9,29,4,2
0.0,0.0,0.0,0,12.62,12.16,11.72,12.93,1028,85,2.04,90,5,2021,9,29,5,2
0.0,0.0,0.0,0,12.61,12.09,11.12,12.93,1028,83,1.98,83,0,2021,9,29,6,2
0.0,0.0,0.0,0,13.27,12.69,10.34,13.48,1028,78,2.34,87,5,2021,9,29,7,2
0.0,0.0,0.0,0,16.14,15.77,11.77,16.26,1029,75,2.15,65,0,2021,9,29,8,2
0.0,0.0,0.0,0,18.85,18.54,15.57,19.04,1029,67,1.76,18,1,2021,9,29,9,2
0.0,0.0,0.0,0,19.83,19.59,17.57,20.15,1029,66,2.09,3,7,2021,9,29,10,2
0.0,0.0,0.0,0,20.71,20.53,20.57,21.77,1029,65,2.69,12,1,2021,9,29,11,2
0.0,0.0,0.0,0,21.76,21.66,20.72,22.23,1028,64,2.86,25,6,2021,9,29,12,2
0.0,0.0,0.0,0,22.82,22.75,19.72,24.54,1028,61,2.78,26,6,2021,9,29,13,2
0.0,0.0,0.0,0,23.34,23.32,20.72,23.48,1027,61,2.71,31,6,2021,9,29,14,2
0.215,0.0,0.0,0,23.83,23.81,20.72,24.04,1027,59,2.95,44,6,2021,9,29,15,2
0.433,0.0,0.149,1,23.8,23.75,20.72,24.04,1026,58,3.36,25,6,2021,9,29,16,2
0.292,0.0,0.315,1,22.99,22.94,19.72,23.48,1026,61,3.22,21,1,2021,9,29,17,2
0.522,0.0,0.06,0,21.51,21.41,19.55,21.82,1026,65,3.44,10,7,2021,9,29,18,2
0.581,0.0,0.0,0,20.19,20.07,16.72,20.7,1027,69,3.21,2,7,2021,9,29,19,2
0.506,0.0,0.0,0,19.09,18.93,15.72,19.59,1027,72,2.98,10,7,2021,9,29,20,2
0.534,0.0,0.0,0,18.25,18.06,14.72,18.48,1027,74,2.8,11,1,2021,9,29,21,2
0.726,0.0,0.0,0,17.74,17.63,14.72,17.93,1027,79,2.47,16,1,2021,9,29,22,2
0.662,0.0,0.0,0,17.96,17.69,13.72,18.48,1027,72,2.4,5,7,2021,9,29,23,2
0.704,0.0,0.0,0,13.97,13.69,12.72,15.66,1027,87,2.07,39,6,2021,9,30,0,3
0.466,0.0,0.0,0,17.34,16.98,12.72,17.93,1026,71,1.93,88,5,2021,9,30,1,3
0.356,0.0,0.0,0,13.73,13.46,12.57,15.1,1026,88,1.81,98,5,2021,9,30,2,3
0.355,0.0,0.0,0,12.92,12.62,11.72,14.54,1025,90,1.78,73,0,2021,9,30,3,3
0.346,0.0,0.0,0,12.88,12.6,11.72,14.54,1025,91,1.77,42,6,2021,9,30,4,3
0.351,0.0,0.0,0,17.16,16.84,10.72,17.37,1025,73,1.83,28,6,2021,9,30,5,3
0.454,0.0,0.0,0,11.58,11.17,10.72,13.43,1025,91,1.81,40,6,2021,9,30,6,3
0.372,0.0,0.002,0,11.67,11.24,10.72,15.11,1026,90,1.71,2,7,2021,9,30,7,3
0.366,0.0,0.228,2,19.4,19.07,14.54,19.59,1026,64,1.86,0,7,2021,9,30,8,3
0.0,0.0,0.268,3,20.63,20.37,18.34,20.7,1026,62,1.03,25,6,2021,9,30,9,3
0.0,0.0,0.268,3,22.31,22.22,19.72,22.88,1026,62,0.73,84,0,2021,9,30,10,3
0.0,0.0,0.278,4,22.94,22.91,22.79,23.99,1026,62,0.48,30,6,2021,9,30,11,3
0.026,0.0,0.352,4,24.49,24.4,20.72,24.59,1025,54,0.62,65,0,2021,9,30,12,3
0.003,0.0,0.378,3,24.9,24.91,19.72,25.57,1024,56,1.21,89,5,2021,9,30,13,3
0.0,0.0,0.45,3,26.2,26.2,23.44,26.26,1024,51,2.17,24,1,2021,9,30,14,3
0.0,0.0,0.42,3,26.48,26.48,21.72,26.82,1023,49,3.05,19,1,2021,9,30,15,3
0.054,0.0,0.35,3,25.84,25.81,19.72,26.26,1023,51,3.27,0,7,2021,9,30,16,3
0.105,0.0,0.216,1,23.67,23.69,17.72,24.23,1023,61,2.81,1,7,2021,9,30,17,3
0.419,0.0,0.032,0,22.02,22.03,16.72,23.12,1023,67,2.29,55,0,2021,9,30,18,3
0.341,0.0,0.0,0,19.9,19.9,15.72,20.9,1023,75,1.65,96,5,2021,9,30,19,3
0.585,0.0,0.0,0,18.78,18.72,14.72,19.79,1023,77,1.08,98,5,2021,9,30,20,3
0.523,0.0,0.0,0,18.23,18.2,14.72,18.48,1024,80,1.56,98,5,2021,9,30,21,3
0.562,0.0,0.0,0,17.62,17.53,12.72,17.93,1023,80,1.32,100,5,2021,9,30,22,3
0.599,0.0,0.0,0,17.67,17.63,13.72,17.93,1023,82,2.06,100,5,2021,9,30,23,3
0.611,0.0,0.0,0,16.63,16.57,13.72,16.82,1023,85,1.23,99,5,2021,10,1,0,4
0.557,0.0,0.0,0,16.05,15.96,12.72,16.26,1023,86,1.87,92,5,2021,10,1,1,4
0.446,0.0,0.0,0,16.15,16.04,12.72,16.26,1022,85,1.49,93,5,2021,10,1,2,4
0.336,0.0,0.0,0,16.14,16.11,12.72,16.26,1022,88,1.5,14,1,2021,10,1,3,4
0.306,0.0,0.0,0,15.07,14.96,12.72,15.15,1022,89,1.1,60,0,2021,10,1,4,4
0.268,0.0,0.0,0,15.6,15.57,12.72,15.7,1022,90,1.35,86,5,2021,10,1,5,4
0.279,0.0,0.0,0,15.44,15.36,11.72,15.7,1022,89,1.24,92,5,2021,10,1,6,4
0.281,0.0,0.0,0,14.97,14.9,12.72,15.15,1022,91,1.06,98,5,2021,10,1,7,4
0.585,0.0,0.047,0,15.63,15.62,13.72,15.7,1023,91,1.18,99,5,2021,10,1,8,4
0.064,0.0,0.187,1,15.71,15.56,15.66,16.78,1023,85,1.24,94,5,2021,10,1,9,4
0.005,0.0,0.248,3,18.84,18.74,17.79,20.11,1023,75,2.09,98,5,2021,10,1,10,4
0.0,0.0,0.258,4,20.39,20.23,19.72,21.77,1023,67,2.19,100,5,2021,10,1,11,4
0.0,0.0,0.262,4,21.2,21.07,19.72,22.57,1023,65,2.66,78,0,2021,10,1,12,4
0.025,0.0,0.329,4,22.24,22.03,19.72,23.68,1023,58,2.66,77,0,2021,10,1,13,4
0.014,0.0,0.34,3,23.28,23.23,19.72,25.34,1022,60,2.66,97,5,2021,10,1,14,4
0.02,0.0,0.373,3,23.77,23.82,19.72,24.04,1022,62,3.46,100,5,2021,10,1,15,4
0.052,0.0,0.376,2,23.19,23.42,18.72,23.48,1022,71,3.44,100,5,2021,10,1,16,4
0.189,0.0,0.267,1,21.63,21.86,18.72,22.01,1021,77,3.05,100,5,2021,10,1,17,4
0.714,0.0,0.034,0,20.52,20.72,17.72,20.7,1022,80,2.5,100,5,2021,10,1,18,4
0.422,0.0,0.0,0,19.49,19.74,17.72,19.79,1022,86,1.45,100,5,2021,10,1,19,4
0.374,0.0,0.0,0,18.97,19.22,17.72,19.79,1022,88,0.85,100,5,2021,10,1,20,4
0.255,0.0,0.0,0,18.94,19.21,17.72,19.23,1022,89,0.97,100,5,2021,10,1,21,4
0.324,0.0,0.0,0,18.43,18.68,17.72,19.23,1021,90,1.58,100,5,2021,10,1,22,4
0.331,0.0,0.0,0,18.41,18.68,17.23,18.68,1020,91,1.11,100,5,2021,10,1,23,4
0.328,0.0,0.0,0,18.42,18.72,17.23,18.48,1020,92,1.55,100,5,2021,10,2,0,5
0.526,0.0,0.0,0,18.42,18.72,17.23,18.48,1020,92,1.92,100,5,2021,10,2,1,5
0.328,0.0,0.0,0,18.42,18.75,17.23,18.48,1019,93,2.33,100,5,2021,10,2,2,5
0.262,0.0,0.0,0,17.9,18.17,17.23,18.12,1018,93,2.32,100,5,2021,10,2,3,5
0.256,0.0,0.0,0,17.87,18.14,16.72,18.12,1018,93,2.32,100,5,2021,10,2,4,5
0.256,0.0,0.0,0,17.59,17.83,16.68,18.12,1017,93,2.95,100,5,2021,10,2,5,5
0.287,0.0,0.0,0,17.33,17.55,16.68,17.57,1017,93,3.2,100,5,2021,10,2,6,5
0.377,0.0,0.0,0,17.31,17.52,16.12,17.57,1017,93,3.55,100,5,2021,10,2,7,5
0.215,0.0,0.064,0,17.36,17.58,16.12,18.12,1017,93,3.78,100,5,2021,10,2,8,5
0.087,0.0,0.167,1,18.44,18.77,17.23,18.72,1017,93,3.57,100,5,2021,10,2,9,5
0.052,0.0,0.201,1,19.53,19.84,18.12,19.59,1016,88,4.74,96,5,2021,10,2,10,5
0.099,0.0,0.27,2,20.55,20.83,18.72,21.45,1016,83,5.41,99,5,2021,10,2,11,5
0.265,0.0,0.29,1,20.02,20.38,17.72,20.9,1015,88,5.52,100,3,2021,10,2,12,5
0.741,0.0,0.214,0,18.98,19.34,17.72,20.34,1015,92,6.18,100,5,2021,10,2,13,5
0.202,0.0,0.261,1,19.03,19.42,17.89,20.34,1014,93,6.23,100,5,2021,10,2,14,5
0.735,0.0,0.244,1,19.03,19.42,18.44,19.79,1013,93,6.55,100,3,2021,10,2,15,5
0.936,0.0,0.144,0,19.02,19.38,18.44,19.23,1012,92,6.72,100,3,2021,10,2,16,5
0.418,0.0,0.056,0,18.99,19.32,17.72,19.54,1011,91,6.66,100,3,2021,10,2,17,5
0.388,0.0,0.016,0,18.96,19.29,17.72,19.04,1011,91,6.68,100,5,2021,10,2,18,5
0.52,0.0,0.0,0,18.43,18.73,17.72,18.48,1011,92,6.86,100,3,2021,10,2,19,5
0.477,0.0,0.0,0,18.42,18.75,17.72,18.48,1010,93,7.14,100,3,2021,10,2,20,5
0.55,0.0,0.0,0,18.42,18.75,17.72,18.68,1010,93,7.37,100,4,2021,10,2,21,5
0.32,0.0,0.0,0,18.42,18.75,17.72,18.68,1009,93,7.54,100,4,2021,10,2,22,5
0.352,0.0,0.0,0,18.4,18.72,17.32,18.68,1008,93,8.4,100,4,2021,10,2,23,5
0.472,0.0,0.0,0,18.45,18.78,17.72,18.48,1007,93,7.86,100,4,2021,10,3,0,6
0.429,0.0,0.0,0,17.29,17.5,15.57,17.88,1007,93,5.26,100,2,2021,10,3,1,6
0.281,0.0,0.0,0,16.72,16.88,15.57,17.01,1008,93,4.84,100,2,2021,10,3,2,6
0.337,0.0,0.0,0,16.58,16.72,13.72,16.82,1009,93,3.45,97,4,2021,10,3,3,6
0.277,0.0,0.0,0,13.48,13.31,12.79,13.72,1009,93,3.39,72,3,2021,10,3,4,6
0.263,0.0,0.0,0,13.46,13.29,12.23,13.72,1010,93,3.76,51,0,2021,10,3,5,6
0.259,0.0,0.0,0,12.91,12.68,12.01,12.93,1011,93,3.3,39,6,2021,10,3,6,6
0.259,0.0,0.002,0,12.36,12.08,11.72,12.89,1012,93,2.47,40,6,2021,10,3,7,6
0.047,0.0,0.221,2,13.02,12.81,12.79,14.54,1013,93,2.26,32,6,2021,10,3,8,6
0.015,0.0,0.299,3,14.65,14.44,13.9,15.72,1014,87,3.25,23,1,2021,10,3,9,6
0.053,0.0,0.402,3,16.29,15.85,15.9,17.33,1016,72,2.31,45,6,2021,10,3,10,6
0.236,0.0,0.502,3,16.88,16.45,16.45,17.89,1016,70,3.08,46,6,2021,10,3,11,6
0.958,0.0,0.621,2,17.89,17.33,15.9,19.0,1017,61,3.73,33,6,2021,10,3,12,6
0.57,0.0,0.417,2,16.89,16.38,16.82,19.0,1017,67,3.61,28,6,2021,10,3,13,6
0.384,0.0,0.21,2,18.6,18.21,17.57,20.1,1017,65,4.55,29,6,2021,10,3,14,6
0.205,0.0,0.278,2,17.92,17.57,16.72,19.54,1018,69,4.75,36,6,2021,10,3,15,6
0.163,0.0,0.173,2,17.92,17.46,17.72,18.12,1019,65,3.84,18,1,2021,10,3,16,6
0.329,0.0,0.194,0,16.82,16.36,16.72,17.79,1019,69,2.93,0,7,2021,10,3,17,6
0.358,0.0,0.034,0,15.71,15.27,15.34,16.22,1020,74,1.77,7,7,2021,10,3,18,6
0.472,0.0,0.0,0,14.6,14.13,13.12,16.21,1021,77,2.25,100,5,2021,10,3,19,6
0.516,0.0,0.0,0,14.03,13.55,12.01,15.66,1021,79,1.69,100,5,2021,10,3,20,6
0.489,0.0,0.0,0,13.46,13.0,10.9,15.1,1021,82,0.91,100,5,2021,10,3,21,6
0.573,0.0,0.0,0,12.92,12.46,10.34,14.55,1022,84,1.41,100,5,2021,10,3,22,6
0.591,0.0,0.0,0,12.93,12.5,12.72,14.0,1022,85,0.35,100,5,2021,10,3,23,6
0.548,0.0,0.0,0,12.37,11.93,11.72,13.43,1022,87,0.56,100,5,2021,10,4,0,0
0.527,0.0,0.0,0,12.92,12.51,12.23,12.93,1022,86,0.62,86,5,2021,10,4,1,0
0.334,0.0,0.0,0,12.92,12.54,11.68,12.93,1022,87,0.72,100,5,2021,10,4,2,0
0.34,0.0,0.0,0,12.93,12.55,10.34,13.72,1022,87,0.77,95,5,2021,10,4,3,0
0.333,0.0,0.0,0,12.94,12.54,12.23,13.72,1022,86,0.71,81,0,2021,10,4,4,0
0.337,0.0,0.0,0,12.93,12.58,10.34,13.72,1022,88,0.59,94,5,2021,10,4,5,0
0.319,0.0,0.0,0,12.92,12.59,11.68,12.93,1022,89,0.93,97,5,2021,10,4,6,0
0.33,0.0,0.002,0,12.87,12.51,10.9,12.93,1023,88,1.16,78,0,2021,10,4,7,0
0.447,0.0,0.048,0,13.48,13.16,12.79,13.72,1023,87,1.54,70,0,2021,10,4,8,0
0.372,0.0,0.129,0,14.03,13.84,13.34,14.54,1023,90,2.07,69,0,2021,10,4,9,0
0.024,0.0,0.337,2,15.44,15.13,14.79,15.72,1023,80,2.08,96,5,2021,10,4,10,0
0.013,0.0,0.298,2,17.63,17.46,16.12,17.88,1022,77,2.52,89,5,2021,10,4,11,0
0.001,0.0,0.311,2,17.42,17.33,16.72,19.55,1023,81,3.09,99,5,2021,10,4,12,0
0.182,0.0,0.237,0,17.51,17.46,17.01,20.66,1023,82,3.3,99,5,2021,10,4,13,0
